Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,salary
Maruti Alto K10 LXI CNG,Delhi,2014,40929,CNG,Manual,First,32.26 km/kg,998 CC,58.2 bhp,4.0,3.1479828171851985
Maruti Alto 800 2016-2019 LXI,Coimbatore,2013,54493,Petrol,Manual,Second,24.7 kmpl,796 CC,47.3 bhp,5.0,2.408571489697166
Toyota Innova Crysta Touring Sport 2.4 MT,Mumbai,2017,34000,Diesel,Manual,First,13.68 kmpl,2393 CC,147.8 bhp,7.0,15.866421868993339
Toyota Etios Liva GD,Hyderabad,2012,139000,Diesel,Manual,First,23.59 kmpl,1364 CC,null bhp,5.0,4.315781800915669
Hyundai i20 Magna,Mumbai,2014,29000,Petrol,Manual,First,18.5 kmpl,1197 CC,82.85 bhp,5.0,3.427589024127955
Mahindra XUV500 W8 2WD,Coimbatore,2016,85609,Diesel,Manual,Second,16.0 kmpl,2179 CC,140 bhp,7.0,12.42760887342009
Toyota Fortuner 4x2 AT TRD Sportivo,Pune,2015,59000,Diesel,Automatic,First,12.55 kmpl,2982 CC,168.7 bhp,7.0,26.828904930831644
Hyundai EON Era Plus,Jaipur,2013,65000,Petrol,Manual,First,21.1 kmpl,814 CC,55.2 bhp,5.0,2.6806813232677644
Honda City 1.5 S MT,Mumbai,2011,66000,Petrol,Manual,Second,17.0 kmpl,1497 CC,118 bhp,5.0,4.636979242409728
Mahindra XUV500 W6 2WD,Coimbatore,2015,54684,Diesel,Manual,First,15.1 kmpl,2179 CC,140 bhp,7.0,10.63046156200189
Audi Q5 2008-2012 2.0 TDI,Mumbai,2012,78000,Diesel,Automatic,Second,12.8 kmpl,1968 CC,167.6 bhp,5.0,16.90392185438531
Hyundai Grand i10 Magna,Jaipur,2016,21000,Petrol,Manual,First,18.9 kmpl,1197 CC,82 bhp,5.0,5.456696604324895
Toyota Corolla H5,Chennai,2007,90000,Petrol,Manual,Third,13.4 kmpl,1794 CC,125 bhp,5.0,2.5704093636195986
Maruti Swift Vdi BSIII,Coimbatore,2008,87628,Diesel,Manual,First,17.8 kmpl,1248 CC,75 bhp,5.0,2.3288931653353986
Nissan Terrano XL,Mumbai,2014,45000,Petrol,Manual,First,13.24 kmpl,1598 CC,102.5 bhp,5.0,4.915851059705316
BMW X1 sDrive20d,Coimbatore,2013,30788,Diesel,Automatic,First,17.05 kmpl,1995 CC,184 bhp,5.0,15.51697818024935
BMW 3 Series GT 320d Luxury Line,Hyderabad,2015,39524,Diesel,Automatic,First,19.59 kmpl,1995 CC,184 bhp,5.0,29.21497115239918
Ford Ikon 1.4 TDCi DuraTorq,Chennai,2009,140000,Diesel,Manual,First,13.8 kmpl,1399 CC,68 bhp,5.0,1.852476395973123
Maruti Swift AMT ZXI,Kochi,2019,15409,Petrol,Automatic,First,22.0 kmpl,1197 CC,81.80 bhp,5.0,7.974585310866278
Maruti Swift Dzire VXi,Jaipur,2015,36502,Petrol,Manual,First,17.5 kmpl,1298 CC,85.8 bhp,5.0,5.000625986960635
Maruti Ritz LDi,Pune,2016,200000,Diesel,Manual,First,23.2 kmpl,1248 CC,73.94 bhp,5.0,4.203775869102504
Nissan Micra XV,Delhi,2010,70000,Petrol,Manual,First,18.06 kmpl,1198 CC,75 bhp,5.0,2.5044782078199894
Maruti Alto 800 2016-2019 LXI,Kochi,2017,36701,Petrol,Manual,First,24.7 kmpl,796 CC,47.3 bhp,5.0,3.2425587612337434
Skoda Laura 1.8 TSI Ambition,Bangalore,2009,72000,Petrol,Manual,Second,17.5 kmpl,,,,2.8089781941422975
Honda Civic 2010-2013 1.8 S MT Inspire,Bangalore,2011,40000,Petrol,Manual,Second,15.5 kmpl,1799 CC,132 bhp,5.0,4.414874667311941
Ford Ikon 1.3 Flair,Pune,2005,47000,Petrol,Manual,Second,13.8 kmpl,1299 CC,70 bhp,5.0,1.0832297606821517
Maruti Alto LX,Pune,2006,93500,Petrol,Manual,Second,19.7 kmpl,796 CC,46.3 bhp,5.0,1.5201169660749105
Honda Jazz 1.5 V i DTEC,Pune,2015,52000,Diesel,Manual,First,27.3 kmpl,1498 CC,98.6 bhp,5.0,6.295637361995155
Skoda Rapid 1.5 TDI AT Ambition,Delhi,2015,55429,Diesel,Automatic,Second,21.66 kmpl,1498 CC,103.52 bhp,5.0,6.028157099478877
Hyundai i20 1.2 Sportz,Mumbai,2011,133000,Petrol,Manual,Second,17.0 kmpl,1197 CC,80 bhp,5.0,3.0009927643743097
Toyota Etios Cross 1.4L VD,Chennai,2014,70000,Diesel,Manual,Second,23.59 kmpl,1364 CC,67.06 bhp,5.0,3.7153000024134455
Volkswagen Polo GT TDI,Pune,2014,68000,Diesel,Manual,First,15.11 kmpl,1598 CC,103.6 bhp,5.0,4.685545527062299
Hyundai i10 Era 1.1 iTech SE,Pune,2010,71000,Petrol,Manual,Second,19.81 kmpl,1086 CC,68.05 bhp,5.0,2.0441173189104322
Mitsubishi Pajero 2.8 SFX,Chennai,2012,121000,Diesel,Manual,First,10.5 kmpl,2835 CC,107.2 bhp,6.0,7.216034595627859
Maruti Swift Dzire Tour LDI,Kolkata,2015,107000,Diesel,Manual,First,23.4 kmpl,1248 CC,74 bhp,5.0,4.454739416836053
Maruti Swift Dzire VXI,Chennai,2015,51000,Petrol,Manual,First,19.1 kmpl,1197 CC,85.8 bhp,5.0,4.956960662715748
Skoda Rapid 1.6 MPI AT Style,Mumbai,2017,13500,Petrol,Automatic,First,14.84 kmpl,1598 CC,103.52 bhp,5.0,9.110275247176352
Hyundai Creta 1.6 SX Plus Dual Tone Petrol,Bangalore,2016,13000,Petrol,Manual,First,15.29 kmpl,1591 CC,121.3 bhp,5.0,8.570499966285757
Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,Pune,2010,81000,Diesel,Manual,First,12.8 kmpl,2494 CC,102 bhp,8.0,5.839779295518753
BMW 5 Series 520d Luxury Line,Mumbai,2012,66889,Diesel,Automatic,First,22.48 kmpl,1995 CC,190 bhp,5.0,15.540498628562972
Maruti Baleno Alpha 1.3,Ahmedabad,2018,32000,Diesel,Manual,First,27.39 kmpl,1248 CC,74 bhp,5.0,6.895369660829899
Audi A4 2.0 TDI 177 Bhp Technology Edition,Pune,2013,87001,Diesel,Automatic,First,17.11 kmpl,1968 CC,174.33 bhp,5.0,13.643852810258284
Audi A4 2.0 TDI Multitronic,Hyderabad,2013,55000,Diesel,Automatic,Second,16.55 kmpl,1968 CC,140 bhp,5.0,16.272088617474356
Skoda Rapid 1.6 MPI Ambition,Jaipur,2018,4000,Petrol,Manual,First,15.41 kmpl,1598 CC,103.52 bhp,5.0,9.291246147688316
Maruti Ertiga SHVS VDI,Kochi,2017,27778,Diesel,Manual,First,24.52 kmpl,1248 CC,88.5 bhp,7.0,9.465175024442539
Maruti Ciaz 1.4 Zeta,Mumbai,2017,5000,Petrol,Manual,First,20.73 kmpl,1373 CC,91.1 bhp,5.0,8.967306516548113
Maruti Ciaz ZXi,Pune,2014,72000,Petrol,Manual,First,20.73 kmpl,1373 CC,91.1 bhp,5.0,5.903522557451101
Mercedes-Benz A Class A200 CDI Sport,Chennai,2015,21000,Diesel,Automatic,First,20.0 kmpl,2143 CC,136 bhp,5.0,20.42574512262835
Toyota Innova 2.5 ZX Diesel 7 Seater,Kochi,2015,59299,Diesel,Manual,First,12.99 kmpl,2494 CC,100.6 bhp,7.0,8.701783188732417
BMW 3 Series 320d Prestige,Ahmedabad,2014,75000,Diesel,Automatic,First,18.88 kmpl,1995 CC,184 bhp,5.0,18.042166009360905
Maruti Alto 800 2016-2019 LXI,Kochi,2019,3413,Petrol,Manual,First,24.7 kmpl,796 CC,47.3 bhp,5.0,3.540593462270759
Ford Ecosport 1.5 DV5 MT Titanium,Mumbai,2014,62000,Diesel,Manual,First,22.7 kmpl,1498 CC,89.84 bhp,5.0,6.027663946518747
Ford Endeavour 3.0L 4X4 AT,Mumbai,2010,105001,Diesel,Automatic,First,11.4 kmpl,2953 CC,153.86 bhp,7.0,10.061550915019705
Audi Q5 2.0 TDI,Mumbai,2013,89000,Diesel,Automatic,First,14.16 kmpl,1968 CC,174.3 bhp,5.0,22.452381200498394
Hyundai Verna 1.6 SX VTVT,Mumbai,2014,21000,Petrol,Manual,First,17.01 kmpl,1591 CC,121.3 bhp,5.0,5.849011974281405
Mahindra XUV500 W8 4WD,Kolkata,2014,50000,Diesel,Manual,First,15.1 kmpl,2179 CC,140 bhp,7.0,8.484248016303026
Maruti Vitara Brezza ZDi,Hyderabad,2016,70687,Diesel,Manual,First,24.3 kmpl,1248 CC,88.5 bhp,5.0,8.674900486198096
Toyota Etios Liva 1.4 VXD,Pune,2016,104350,Diesel,Manual,First,23.59 kmpl,1364 CC,67.04 bhp,5.0,3.844481815672805
Tata Indigo CS LX (TDI) BS III,Chennai,2011,150000,Diesel,Manual,Second,19.09 kmpl,1396 CC,69 bhp,5.0,2.497995914491614
Honda City ZX GXi,Delhi,2008,81000,Petrol,Manual,First,17.7 kmpl,1497 CC,78 bhp,5.0,2.2786886926591987
Toyota Corolla Altis G,Kolkata,2008,89000,Petrol,Manual,Second,14.53 kmpl,1798 CC,138.1 bhp,5.0,3.5316314554352735
Hyundai Grand i10 Asta,Kochi,2017,35223,Petrol,Manual,First,18.9 kmpl,1197 CC,82 bhp,5.0,6.058743754812935
Hyundai i20 Sportz 1.2,Kolkata,2015,48000,Petrol,Manual,First,18.6 kmpl,1197 CC,81.83 bhp,5.0,4.713313178897097
Volkswagen Polo 1.5 TDI Comfortline,Delhi,2015,60000,Diesel,Manual,First,20.14 kmpl,1498 CC,88.8 bhp,5.0,5.526987295705351
Maruti Celerio X VXI Option,Mumbai,2018,7000,Petrol,Manual,First,23.0 kmpl,998 CC,67 bhp,5.0,3.9620078945019284
Chevrolet Sail Hatchback 1.2,Kochi,2015,47572,Petrol,Manual,First,18.2 kmpl,1199 CC,82.5 bhp,5.0,3.8215013208264574
Mahindra Scorpio VLX Special Edition BS-IV,Delhi,2010,72727,Diesel,Manual,Second,15.4 kmpl,2179 CC,120 bhp,8.0,4.605766007703241
Volkswagen Ameo 1.5 TDI Comfortline,Mumbai,2018,4708,Diesel,Manual,First,21.66 kmpl,1498 CC,108.62 bhp,5.0,9.905241745774676
Maruti Wagon R LXI,Delhi,2009,55000,Petrol,Manual,Second,18.9 kmpl,998 CC,67.1 bhp,5.0,1.7904005473488822
Honda Brio S Option MT,Coimbatore,2013,44198,Petrol,Manual,Second,18.4 kmpl,1198 CC,86.8 bhp,5.0,2.4858063803442607
Maruti Ertiga VXI,Ahmedabad,2015,35000,Petrol,Manual,First,16.02 kmpl,1373 CC,93.7 bhp,7.0,5.22007337598455
Hyundai Santro Xing GL,Ahmedabad,2013,63831,Petrol,Manual,First,0.0 kmpl,1086 CC,62 bhp,5.0,2.944696688167816
Ford Figo Aspire 1.2 Ti-VCT Titanium,Delhi,2017,17540,Petrol,Manual,First,18.16 kmpl,1196 CC,86.8 bhp,5.0,5.619224283473169
Tata Tiago AMT 1.2 Revotron XTA,Mumbai,2017,14000,Petrol,Automatic,First,23.84 kmpl,1199 CC,84 bhp,5.0,6.2454303465117835
Hyundai Santro Xing XL,Bangalore,2007,47000,Petrol,Manual,Second,0.0 kmpl,1086 CC,null bhp,5.0,1.4156892940374406
Chevrolet Beat LT,Chennai,2010,75422,Petrol,Manual,Second,18.6 kmpl,1199 CC,79.4 bhp,5.0,2.2201377435653984
Nissan Micra Diesel XV,Hyderabad,2011,67000,Diesel,Manual,Second,23.08 kmpl,1461 CC,63.1 bhp,5.0,2.6774712039065416
Toyota Innova 2.5 GX (Diesel) 8 Seater,Delhi,2013,79999,Diesel,Manual,First,12.99 kmpl,2494 CC,100 bhp,8.0,6.874937176984139
Hyundai Xcent 1.2 VTVT E,Kolkata,2017,5044,Petrol,Manual,First,20.14 kmpl,1197 CC,81.86 bhp,5.0,5.914990912736876
Maruti Ciaz VXi,Kolkata,2016,31601,Petrol,Manual,First,20.73 kmpl,1373 CC,91.1 bhp,5.0,7.968219213003925
BMW 5 Series 2013-2017 520d Luxury Line,Delhi,2014,70000,Diesel,Automatic,First,18.12 kmpl,1995 CC,190 bhp,5.0,23.67803336938646
Toyota Camry Hybrid 2.5,Ahmedabad,2016,16000,Petrol,Automatic,First,19.16 kmpl,2487 CC,175.67 bhp,5.0,31.785021602388753
Toyota Corolla Altis D-4D G,Mumbai,2016,31700,Diesel,Manual,First,21.43 kmpl,1364 CC,87.2 bhp,5.0,8.500664338895016
Hyundai Verna 1.6 SX CRDi (O),Kochi,2014,76969,Diesel,Manual,First,22.32 kmpl,1582 CC,126.32 bhp,5.0,6.859078217231614
Volkswagen Vento 1.5 TDI Highline AT,Kolkata,2015,37000,Diesel,Automatic,First,21.21 kmpl,1498 CC,103.2 bhp,5.0,6.3011186126547365
Nissan Teana XL,Mumbai,2014,23000,Petrol,Automatic,First,11.07 kmpl,2496 CC,179.5 bhp,5.0,20.357872139496603
Hyundai i20 1.2 Sportz Option,Coimbatore,2014,59098,Petrol,Manual,Second,17.0 kmpl,1197 CC,80 bhp,5.0,3.7292101832060993
Tata Manza Club Class Safire90 LX,Kochi,2010,142299,Petrol,Manual,First,13.07 kmpl,1368 CC,88.76 bhp,5.0,2.1914668752534086
